														SI7820
86	Pinolenic acid ethyl ester	C20 H34 O2	291.25612	292.2635	3.937	[M+H]+1	No match	Invalid mass	63.4	46.9	No match	1	No results	6.78E+07
87	Picolinic acid	C6 H5 N O2	123.03206	124.03934	5.958	[M+H]+1	Full match	Full match	58.8	7.9	Full match	5	Full match	9.26E+06
88	Phytosphingosine	C18 H39 N O3	317.29282	318.3001	3.457	[M+H]+1	Full match	No results			Full match	1	No results	2.40E+06
89	Phenylalanine	C9 H11 N O2	165.079	166.08627	9.989	[M+H]+1	Full match	No results			Partial match	19	Full match	2.58E+07
90	phensuximide	C11 H11 N O2	189.07895	190.08622	5.926	[M+H]+1	Full match	No results			Full match	6	No results	1.14E+06
91	Phenol	C6 H6 O	94.04193	93.03467	7.455	[M-H]-1	Full match	No results			Full match	2	No results	3.74E+07
92	Phenobarbital-d5	C12 H7 [2]H5 N2 O3	237.11278	236.10551	3.458	[M-H]-1	No match	Invalid mass	84.7	71.1	No results	0	No results	3.14E+07
93	Phenobarbital	C12 H12 N2 O3	232.08492	231.07758	7.387	[M-H]-1	Full match	No results			Full match	3	No results	5.84E+05
94	phenacemide	C9 H10 N2 O2	178.07408	161.07095	7.475	[M+H-H2O]+1	No results	No results			Full match	5	No results	1.57E+07
95	Perillic acid	C10 H14 O2	166.09958	165.09236	4.009	[M-H]-1	Full match	No results			Full match	46	No results	3.31E+07
96	Pentadecanoic Acid	C15 H30 O2	242.22465	241.21737	3.455	[M-H]-1	Full match	Full match	81.2	9.1	Full match	15	No results	2.72E+08
97	Pentacosylic acid	C25 H50 O2	382.38121	381.37393	3.371	[M-H]-1	Full match	No results			Full match	5	No results	1.05E+07
98	paracetamol sulfate	C8 H9 N O5 S	231.02029	230.01302	11.194	[M-H]-1	Full match	No results			Full match	2	No results	2.30E+06
99	Pantothenate	C9 H17 N O5	219.11065	220.11794	4.758	[M+H]+1	Full match	No results			Partial match	2	Full match	4.12E+06
100	Palmitoleic acid	C16 H30 O2	254.22458	253.2173	3.447	[M-H]-1	Full match	Full match	81.7	9.1	Full match	17	No results	3.48E+08
101	Palmitic Acid	C16 H32 O2	273.26691	274.27418	6.923	[M+H]+1	No match	Invalid mass	82	51.3	No match	2	No results	1.26E+07
102	O~3~-[2,6-Dihydroxy-2-(2-methoxy-2-oxoethyl)-6-methylheptanoyl]cephalotaxine	C29 H39 N O9	545.26264	546.26996	4.685	[M+H]+1	Full match	No results			Full match	2	No results	5.47E+05
103	oxiracetam	C6 H10 N2 O3	158.06915	159.07643	9.87	[M+H]+1	Full match	No results			Full match	6	No results	4.71E+07
104	oxiracetam	C6 H10 N2 O3	158.06918	159.07644	5.227	[M+H]+1	Full match	No results			Full match	6	No results	3.53E+07
105	Oxidopamine	C8 H11 N O3	169.07388	170.08115	9.191	[M+H]+1	Full match	No results			Full match	6	No results	1.49E+08
106	Oxalic acid	C2 H2 O4	89.99526	88.98798	14.688	[M-H]-1	Full match	No results			Full match	1	No results	5.51E+07
107	Orlistat	C29 H53 N O5	495.39239	496.40086	3.812	[M+H]+1	No results	No results			Full match	1	No results	2.20E+06
108	Oleoyl ethanolamide	C20 H39 N O2	331.30851	332.31578	4.192	[M+H]+1	No match	Invalid mass	83.7	52.3	No results	0	No results	1.18E+06
109	Oleoyl ethanolamide	C20 H39 N O2	331.30858	332.31586	4.666	[M+H]+1	No match	Invalid mass	88.2	54.9	No results	0	No results	2.83E+06
110	Oleic acid	C18 H34 O2	282.25587	281.24859	3.419	[M-H]-1	Full match	Full match	97.6	9.9	Full match	12	No results	1.05E+09
111	O-(4,8-dimethylnonanoyl)carnitine	C18 H35 N O4	329.25653	330.2638	9.824	[M+H]+1	Full match	No results			Full match	2	No results	5.76E+06
112	NT2544000	C8 H6 O5	182.02183	181.01455	11.587	[M-H]-1	Full match	No results			Full match	8	No results	8.27E+06
113	NP-020240	C14 H20 O3	218.13066	219.138	3.583	[M+H]+1	No match	Invalid mass	65.6	66.6	No match	14	No results	2.16E+07
114	NP-020014	C15 H26 O3	276.17247	277.17975	3.582	[M+H]+1	No match	Invalid mass	68.2	67.4	No match	11	No results	1.85E+07
115	NP-016386	C16 H26 O4	232.14631	233.15359	3.625	[M+H]+1	No match	Invalid mass	75.7	55.9	No match	48	No results	1.66E+07
116	NP-013098	C26 H28 O14	564.1479	565.15471	9.281	[M+H]+1	Not the top hit	Full match	94.7	84	Not the top hit	10	No results	4.00E+05
117	NP-013098	C26 H28 O14	564.14805	563.14153	9.965	[M-H]-1	Not the top hit	Full match	94.7	84	Not the top hit	10	No results	1.67E+05
118	NP-012972	C14 H24 O3	262.15662	263.16354	3.505	[M+H]+1	No match	Invalid mass	73.1	70.2	No match	5	No results	1.62E+07
119	NP-011548	C18 H34 O3	280.24027	281.24757	3.445	[M+H]+1	No match	Invalid mass	76.7	48.1	No match	16	No results	7.17E+07
120	NP-007909	C13 H20 O3	224.14136	223.1343	4.746	[M-H]-1	Full match	Full match	61.6	65.5	Partial match	16	No results	2.11E+06
121	NP-007909	C13 H20 O3	224.14128	223.13415	4.451	[M-H]-1	Full match	Full match	61.6	65.5	Partial match	16	No results	5.94E+06
122	NP-006255	C17 H26 O4	276.17574	275.16847	3.344	[M-H]-1	No match	Invalid mass	72.7	46.5	No results	0	No results	9.58E+06
123	NP-004038	C16 H24 O3	246.162	247.16927	3.601	[M+H]+1	No match	Invalid mass	75.5	71.9	No match	6	No results	5.52E+07
124	NP-002676	C15 H26 O4	316.18877	315.18155	3.854	[M-H]-1	No match	Invalid mass	52.3	63.6	No match	2	No results	2.17E+07
125	NP-001596	C16 H30 O4	308.19872	309.20602	3.577	[M+H]+1	No match	Invalid mass	64.2	66.2	No match	9	No results	1.82E+07
126	NP-001134	C16 H22 N4 O2	302.17305	301.16577	4.056	[M-H]-1	Not the top hit	Full match	61.8	61.8	Partial match	2	No results	2.34E+07
127	NP-001134	C16 H22 N4 O2	302.17306	301.1658	4.514	[M-H]-1	Full match	Full match	61.8	61.8	Partial match	2	No results	8.66E+06
128	Normetanephrine	C9 H13 N O3	183.08965	184.09689	4.738	[M+H]+1	Full match	No results			Partial match	9	Full match	2.83E+07
129	Normetanephrine	C9 H13 N O3	183.08956	184.09684	7.951	[M+H]+1	Full match	No results			Partial match	9	Full match	2.04E+07
130	Normetanephrine	C9 H13 N O3	183.08958	184.09685	6.331	[M+H]+1	Full match	No results			Partial match	9	Full match	1.14E+07
131	Norethindrone	C20 H26 O2	298.19302	299.20029	3.558	[M+H]+1	Full match	No results			Full match	9	No results	1.75E+07
132	noradrenaline	C8 H11 N O3	169.0739	202.10739	5.951	[M+H+MeOH]+1	Full match	No results			Full match	6	No results	4.82E+07
133	Nonanoic acid	C9 H18 O2	158.13095	157.12368	3.628	[M-H]-1	Full match	Full match	94.8	9.7	Full match	25	No results	5.57E+08
134	Nojirimycin	C6 H13 N O5	179.07925	180.08652	21.408	[M+H]+1	Full match	No results			Full match	12	No results	3.49E+05
135	Nitrendipine	C18 H20 N2 O6	360.13244	359.12522	7.47	[M-H]-1	Full match	No results			Full match	4	No results	4.35E+06
136	Nigakilactone N	C21 H30 O7	394.19948	395.20591	3.544	[M+H]+1	No results	No results			Full match	3	No results	1.39E+06
137	Nicotinuric acid	C8 H8 N2 O3	180.05356	181.06084	9.143	[M+H]+1	Full match	No results			Full match	3	No results	4.54E+06
138	Niacin	C6 H5 N O2	123.0323	122.02504	12.903	[M-H]-1	Full match	No results			Full match	5	No results	2.29E+07
139	Niacin	C6 H5 N O2	123.03207	124.03934	13.121	[M+H]+1	Full match	No results			Full match	5	No results	3.56E+07
140	Naphthalen-2-amine	C10 H9 N	143.07356	144.08084	7.665	[M+H]+1	Full match	No results			Full match	7	No results	2.64E+05
141	N6-(2-(1H-imidazol-4-yl)ethyl)lysine	C11 H20 N4 O2	240.15857	241.16584	7.915	[M+H]+1	Full match	No results			Full match	1	No results	1.70E+06
142	N2-Succinyl-L-glutamic acid 5-semialdehyde	C9 H13 N O6	231.07427	230.067	12.294	[M-H]-1	Full match	No results			Full match	4	No results	8.03E+06
143	N1-(1,3,5-Trimethyl-1H-pyrazol-4-yl)-2-cyano-3-(dimethylamino)acrylamide	C12 H17 N5 O	247.14205	248.14932	11.815	[M+H]+1	No match	Invalid mass	67.5	47.6	No match	2	No results	6.63E+07
144	N-Tetracosanoylglycine	C26 H51 N O3	425.38673	426.39401	3.795	[M+H]+1	No results	No results			Full match	1	No results	8.04E+05
145	N-Pentadecanoylglycine	C17 H33 N O3	299.24608	300.25336	9.084	[M+H]+1	Full match	No results			Full match	1	No results	1.83E+06
146	N-Nonanoylglycine	C11 H21 N O3	215.1522	274.16609	7.452	[M-H+HAc]-1	Full match	No results			Full match	2	No results	4.10E+06
147	N-NITROSOSARCOSINE	C3 H6 N2 O3	118.03807	99.02022	11.796	[M-H-H2O]-1	Full match	No results			Full match	2	No results	1.34E+05
148	N-Nitrosoproline	C5 H8 N2 O3	144.05378	143.0465	11.506	[M-H]-1	Full match	No results			Full match	3	No results	1.49E+05
149	N-methylethanolamine phosphate	C3 H10 N O4 P	155.03446	309.06164	10.738	[2M-H]-1	Full match	No results			Full match	4	No results	1.28E+05
150	N-Methyl-2-pyrrolidone	C5 H9 N O	99.06843	100.07568	7.484	[M+H]+1	Full match	Full match	70.8	44.7	Not the top hit	7	No results	1.98E+07
151	N-methyl-2-oxoglutaramic acid	C6 H9 N O4	159.05315	177.08697	12.529	[M+NH4]+1	Full match	No results			Full match	5	No results	2.96E+07
152	N-lauroylglycine	C14 H27 N O3	257.1992	258.20655	3.431	[M+H]+1	Full match	No results			Full match	1	No results	2.71E+07
153	N-Heptadecanoylglycine	C19 H37 N O3	327.27718	328.28446	3.934	[M+H]+1	Full match	No results			Full match	1	No results	6.08E+07
154	N-Formyl-L-glutamic acid	C6 H9 N O5	175.04819	176.05545	13.238	[M+H]+1	Full match	No results			Not the top hit	7	No results	6.81E+06
155	n-Butyl lactate	C7 H14 O3	146.09454	205.10833	4.369	[M-H+HAc]-1	Full match	No results			Full match	8	No results	5.75E+06
156	N-Acetylleucylleucine	C14 H26 N2 O4	286.18917	287.19645	4.627	[M+H]+1	Full match	No results			Full match	1	No results	6.59E+05
157	N-Acetyl-L-phenylalanine	C11 H13 N O3	207.08979	206.0826	7.588	[M-H]-1	Full match	No results			Full match	13	No results	6.37E+05
158	N-Acetyl-L-leucine	C8 H15 N O3	173.10524	174.11252	11.432	[M+H]+1	Full match	No results			Full match	8	No results	5.90E+08
159	N-acetyl-L-2-aminoadipic acid	C8 H13 N O5	203.07966	202.07239	12.457	[M-H]-1	Full match	No results			Full match	2	No results	4.26E+06
160	N-acetyl-L-2-aminoadipic acid	C8 H13 N O5	203.07944	186.07612	7.874	[M+H-H2O]+1	Full match	No results			Full match	2	No results	1.03E+07
161	N-acetyl-L-2-aminoadipic acid	C8 H13 N O5	203.07948	204.08676	10.728	[M+H]+1	Full match	No results			Full match	2	No results	6.21E+06
162	N-[4-(5-Amino-2,2-dimethyl-4-oxo-3,4-dihydro-2H-chromen-6-yl)-1-hydroxy-4-oxo-2-butanyl]formamide	C16 H20 N2 O5	320.13724	319.13014	4.648	[M-H]-1	Full match	No results			Full match	2	No results	1.31E+06
163	N-[3-(aminosulfonyl)phenyl]-2,3-dihydro-1,4-benzodioxine-2-carboxamide	C15 H14 N2 O5 S	334.06659	333.05933	13.134	[M-H]-1	No match	Invalid mass	61.5	44.7	No match	7	No results	1.18E+05
164	N-[3-(aminosulfonyl)phenyl]-2,3-dihydro-1,4-benzodioxine-2-carboxamide	C15 H14 N2 O5 S	298.08999	333.0594	13.121	[M+Cl]-1	No results	Invalid mass	61.5	44.7	No match	2	No results	1.18E+05
165	N-[(6-Hydroxy-1,3-benzodioxol-5-yl)carbonyl]glycine	C10 H9 N O6	239.043	238.03581	11.139	[M-H]-1	Full match	No results			Full match	1	No results	1.39E+05
166	N-[(4E)-4-Nonenoyl]glycine	C11 H19 N O3	213.13661	246.1701	12.081	[M+H+MeOH]+1	Full match	Invalid mass			Full match	9	No results	4.41E+08
167	N-[(4E)-4-Nonenoyl]glycine	C11 H19 N O3	213.13648	214.14377	4.722	[M+H]+1	Full match	No results			Full match	9	No results	2.84E+07
168	N-[(4E)-4-Nonenoyl]glycine	C11 H19 N O3	213.1364	214.14367	9.698	[M+H]+1	Full match	No results			Full match	9	No results	2.19E+07
169	N-(tert-Butoxycarbonyl)-L-leucine	C11 H21 N O4	231.14717	232.15444	12.106	[M+H]+1	Full match	No results			Full match	6	No results	1.07E+09
170	N-(2,6,10,14-Tetramethylpentadecanoyl)glycine	C21 H41 N O3	355.30834	356.31568	3.883	[M+H]+1	Full match	No results			Full match	1	No results	5.66E+06
171	N,N-Dimethylacetamide	C4 H9 N O	87.06837	86.06109	4.75	[M-H]-1	Full match	No results			Full match	13	No results	1.61E+05
172	N,N-Bis(2-hydroxyethyl)formamide	C5 H11 N O3	133.07389	134.08117	8.027	[M+H]+1	Full match	Full match	75.8	56	Partial match	6	No results	1.69E+07
173	Myristyl sulfate	C14 H30 O4 S	294.18305	293.17577	3.456	[M-H]-1	No match	Invalid mass	97.5	9.9	No match	8	No results	3.08E+08
174	Myristyl sulfate	C14 H30 O4 S	248.17751	249.18491	3.461	[M+H]+1	No match	Invalid mass	97.5	9.9	No match	5	No results	5.86E+06
175	Myristoleic acid	C14 H26 O2	226.19346	225.1862	3.472	[M-H]-1	Full match	No results			Full match	22	No results	6.13E+07
176	Myristic Acid	C14 H28 O2	228.2091	227.20182	3.466	[M-H]-1	Full match	Full match	86.5	9.3	Not the top hit	14	No results	5.94E+08
177	Myristamide	C14 H29 N O	227.22508	260.25849	7.435	[M+H+MeOH]+1	Full match	No results			Full match	1	No results	3.44E+05
178	myo-Inositol	C6 H12 O6	180.06365	179.05638	9.811	[M-H]-1	Full match	No results			Not the top hit	104	Full match	1.75E+06
179	myo-Inositol	C6 H12 O6	180.06357	179.05645	12.211	[M-H]-1	Full match	No results			Not the top hit	104	Full match	9.41E+05
180	Moxisylyte	C16 H25 N O3	279.18337	312.21687	3.638	[M+H+MeOH]+1	Full match	No results			Full match	6	No results	2.27E+07
181	minaprine	C17 H22 N4 O	298.17805	297.17084	4.159	[M-H]-1	Full match	No results			Full match	3	No results	2.01E+07
182	MHPG	C9 H12 O4	184.07378	183.0665	4.054	[M-H]-1	Full match	No results			Full match	20	No results	7.21E+06
183	MHPG	C9 H12 O4	184.07365	183.06656	4.735	[M-H]-1	Full match	No results			Full match	20	No results	6.35E+06
184	mH	C4 H4 N2 O2	112.02731	113.03458	10.705	[M+H]+1	Full match	No results			Full match	3	No results	1.36E+07
185	MFCD27952927	C12 H21 N O4	243.14713	244.15441	11.447	[M+H]+1	Full match	No results			Full match	3	No results	1.12E+08
186	MFCD27952927	C12 H21 N O4	243.1471	244.15437	11.017	[M+H]+1	Full match	No results			Full match	3	No results	3.95E+07
187	MFCD04972099	C14 H20 O6	284.12595	302.15974	3.53	[M+NH4]+1	Full match	No results			Full match	2	No results	1.21E+07
188	MFCD00870472	C20 H26 O3	314.1886	313.18133	3.762	[M-H]-1	No results	No results			Full match	17	No results	2.35E+07
189	MFCD00870462	C10 H15 N3 O2	209.11641	227.15023	8.96	[M+NH4]+1	Full match	No results			Full match	1	No results	8.67E+05
190	MFCD00153469	C12 H23 N O3	229.16788	230.17516	11.182	[M+H]+1	Full match	No results			Full match	1	No results	8.91E+06
191	MFCD00153469	C12 H23 N O3	229.1679	230.17517	11.429	[M+H]+1	Full match	No results			Full match	1	No results	7.54E+06
