"ID" "Name" "Syncom" "Phylum" "Clases" "Order" "Family" "Genus" "Replicates" "Batch" "CCL" "Complexity" "Stele_N_cell" "Endodermis_N_cell" "CCL1_N_cell" "CCL2_N_cell" "CCL3_N_cell" "CCL4_N_cell" "Exodermis_N_cell" "Epidermis_N_cell" "Aerenchyma_mean_area" "Aerenchyma_n" "Aerenchyma_total_area" "Stele_diameter" "Endodermis_diameter" "CCL1_diameter" "CCL2_diameter" "CCL3_diameter" "CCL4_diameter" "Exodermis_diameter" "Epidermis_diameter" "Root_diameter"
"3.3" "3.3" "3" "P129" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" 3 1 7 6.571428571 7 7 7 7 4 0 18 32 438.2015129 7 3067.41059 6.354752857 3.330098571 13.80844429 9.34438 9.825234286 0 69.33402722 8.463937626 157.0417025
"3.4" "3.4" "3" "P129" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" 4 1 7 7 8 8 8 8 8 0 24 37 307.39045 8 2459.02514 6.61918875 3.34315125 10.02945625 6.74296625 8.3635475 0 58.83279708 8.222548863 138.28966
"4.1" "4.1" "4" "P118A" "Actinobacteriota" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Arthrobacter" 1 1 5 5.285714286 7 7 7 2 0 0 15 22 258.7857786 7 1811.14461 4.62389 14.98679 7.335794286 11.27591071 0 0 23.96310643 11.4799264 148.4592575
"4.2" "4.2" "4" "P118A" "Actinobacteriota" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Arthrobacter" 2 1 7 7 7 7 7 7 7 0 19 33 743.2544629 7 5202.25814 5.650542857 3.774508571 14.92716714 10.51581 10.96626429 0 80.14658474 8.609492233 180.725325
"4.3" "4.3" "4" "P118A" "Actinobacteriota" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Arthrobacter" 3 1 7 7 7 6 6 6 6 0 22 32 682.9097133 6 4097.45827 6.07752 3.38812 12.47501 9.561793333 11.33116833 0 67.38881364 8.397235426 153.8729425
"4.4" "4.4" "4" "P118A" "Actinobacteriota" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Arthrobacter" 4 1 7 6.6 7 6 6 5 3 0 16 29 545.6855567 6 3275.53954 4.808947143 2.80271619 14.85977333 10.01836733 5.526189333 0 70.52603188 9.933475711 163.9052075
"5.1" "5.1" "5" "P65" "Firmicutes" "Bacilli" "Staphylococcales" "Staphylococcaceae" "Staphylococcus" 1 1 8 7.5 7 6 6 6 6 3 17 31 670.0459733 6 4020.27584 4.310467143 3.01548619 12.57599667 8.309803333 10.73968333 4.247643333 27.73025667 7.025160108 156.13495
"5.2" "5.2" "5" "P65" "Firmicutes" "Bacilli" "Staphylococcales" "Staphylococcaceae" "Staphylococcus" 2 1 7 7.142857143 7 6 7 7 7 1 19 29 476.0712857 7 3332.49899 5.414215714 3.158614286 9.95201 8.825068571 9.063158571 0 26.0174118 10.17062312 150.844645
"5.3" "5.3" "5" "P65" "Firmicutes" "Bacilli" "Staphylococcales" "Staphylococcaceae" "Staphylococcus" 3 1 8 7.5 7 6 6 6 6 3 20 41 914.944902 5 5491.49162 4.717477143 2.825959524 12.63636 8.306913333 13.2611325 0 23.3385515 16.84769711 174.4049525
"5.4" "5.4" "5" "P65" "Firmicutes" "Bacilli" "Staphylococcales" "Staphylococcaceae" "Staphylococcus" 4 1 7 6.666666667 7 6 6 6 4 0 15 27 441.32487 6 2647.94922 4.739065714 2.894047619 10.49948167 8.07429 6.9343075 0 24.2649835 9.104393259 133.8649525
"6.1" "6.1" "6" "R148A" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" 1 1 7 6.75 8 8 8 8 6 0 18 28 285.90564 8 2505.57041 4.91064 3.90887 11.4070775 7.40235375 8.92187375 0 21.36327556 9.498883016 137.8905675
"6.2" "6.2" "6" "R148A" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" 2 1 7 6.25 6 6 6 6 4 1 20 30 518.5690557 6 3559.03682 4.840968333 3.23094 13.60997833 8.506233333 6.0186975 0 27.976218 8.739263833 146.79684
"6.3" "6.3" "6" "R148A" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" 3 1 7 6.833333333 6 6 6 6 5 0 17 27 379.738905 6 2278.43343 4.271545 2.563485 10.24047167 6.633765 8.485419333 0 21.21402812 9.382151438 127.0267075
"6.4" "6.4" "6" "R148A" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" 4 1 7 6.5 7 6 6 6 3 0 11 23 259.975675 6 1559.64738 4.348672857 3.18222381 11.96014333 7.760518333 9.037971667 0 23.74899455 10.81996676 141.561245
"7.1" "7.1" "7" "P69" "Actinobacteriota" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces" 1 1 7 7.285714286 7 7 7 7 7 2 19 28 271.62745 7 2114.33845 5.701342857 3.191704286 9.234008571 5.71339 6.907234286 1.1573 21.36798526 7.354283308 124.8417675
"7.2" "7.2" "7" "P69" "Actinobacteriota" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces" 2 1 7 7.333333333 7 7 7 7 6 2 22 29 598.3068471 7 4188.14793 5.79869 3.390785714 12.67983429 8.348747143 7.942704524 0 26.38664708 10.53889332 151.4328525
"7.3" "7.3" "7" "P69" "Actinobacteriota" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces" 3 1 6 6 6 6 6 6 0 0 16 24 216.535064 5 1082.67532 5.654876667 4.292436667 12.71482 5.890251667 0 0 50.15674625 9.698605417 124.962955
"7.4" "7.4" "7" "P69" "Actinobacteriota" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces" 4 1 7 7.2 6 6 6 6 5 1 21 31 468.1351233 6 2808.81074 5.070686667 3.323738333 10.19372833 7.801746667 8.213388 5.373612 18.39678571 8.904618802 136.22169
"8.1" "8.1" "8" "P74A" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" 1 1 7 7 7 7 7 7 7 0 21 33 640.2399243 7 4481.67947 6.873677143 3.552328571 14.19419714 9.190707143 9.054657143 0 32.44787886 5.942655887 169.609745
"8.2" "8.2" "8" "P74A" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" 2 1 7 7.2 7 6 6 6 5 1 25 29 1007.89738 6 6047.38428 5.442598571 3.702824762 13.4694 12.450395 11.85751967 9.337802 33.4026312 48.8898818 182.40582
"8.3" "8.3" "8" "P74A" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" 3 1 7 7 7 7 7 7 7 0 24 38 811.3083529 7 5679.15846 6.45916 3.709547143 13.01714571 9.914612857 12.54502143 0 32.15504494 9.543247429 181.5475425
"8.4" "8.4" "8" "P74A" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" 4 1 6 6 6 6 6 6 0 0 12 23 223.0083283 6 1338.04998 3.967316667 2.5665 10.72829 7.316916667 0 0 53.79886667 10.31451725 130.8599475
"9.1" "9.1" "9" "R345.2" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingopyxis" 1 1 7 6.857142857 7 7 7 7 6 0 17 27 529.6502471 7 3707.52074 5.238877143 3.771388571 11.35819286 8.584681429 10.13041333 0 27.45917725 11.64772089 156.3186025
"9.2" "9.2" "9" "R345.2" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingopyxis" 2 1 7 6.571428571 7 7 7 7 4 0 17 26 250.3638343 7 1752.60407 6.70718 3.047108571 10.89038571 7.161254286 8.297043929 0 19.60965162 9.750600882 131.5436225
"9.4" "9.4" "9" "R345.2" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingopyxis" 3 1 7 6.5 8 8 8 8 4 0 15 27 227.3750913 8 1819.00073 6.07303125 2.96285375 11.97749125 7.09193625 4.0135125 0 23.23773233 9.891432667 131.70438
"10.1" "10.1" "10" "R88" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" 1 1 7 7.166666667 6 6 6 6 6 1 18 36 539.47624 6 3236.85744 4.389295 2.67014 11.02824 8.30247 9.734891667 0 26.27029278 6.608135 143.5907625
"10.2" "10.2" "10" "R88" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" 2 1 7 7.333333333 6 6 6 6 6 2 14 27 468.7138383 6 2812.28303 4.300368333 2.358985 11.17047 6.920838333 8.273778333 8.46458 22.83652857 8.541394392 143.7708925
"10.3" "10.3" "10" "R88" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" 3 1 7 7.166666667 7 6 6 6 6 1 16 1 765.14732 6 4590.88393 4.967531429 4.006215238 13.06759833 8.614793333 11.21378 0 33.52319854 34.22441113 168.882055
"10.4" "10.4" "10" "R88" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" 4 1 7 6.5 6 6 6 6 3 0 19 26 542.7479333 6 3255.82129 4.632568333 3.459938333 13.911085 10.04095 11.48556167 0 20.76712561 9.28849913 153.5235775
"11.1" "11.1" "11" "R186" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" 1 1 7 6.857142857 7 7 7 7 6 0 17 26 275.6503757 7 1929.55261 6.1229675 3.659453929 8.450217143 7.238094286 6.86098881 0 22.9494801 23.3805672 128.492375
"11.2" "11.2" "11" "R186" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" 2 1 7 6.833333333 7 7 7 6 5 0 17 29 599.2638786 7 4192.55615 6.378282857 4.269175714 12.15684 10.52217143 9.125563333 0 32.48877222 10.34747272 175.6530475
"11.3" "11.3" "11" "R186" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" 3 1 7 6.833333333 7 7 7 6 5 0 20 26 312.7640783 6 1876.66898 4.706671429 3.154837143 9.947157143 6.029117619 6.051088667 0 19.54999 9.089312231 120.9130575
"11.4" "11.4" "11" "R186" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" 4 1 6 6.428571429 6 7 7 7 3 0 14 27 351.0855671 7 2457.59897 4.824271429 2.757991429 11.34292 8.098222857 7.246487619 0 28.38433595 8.352341085 143.8333825
"13.1" "13.1" "13" "R28" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" 1 1 6 5.833333333 6 6 6 5 0 0 4 2 490.766815 6 2944.6009 7.002193333 3.543803333 10.48947905 8.521220952 8.437240833 0 26.22803528 11.18709315 156.1039725
"13.2" "13.2" "13" "R28" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" 2 1 8 7.5 6 6 6 6 6 3 18 25 373.6069314 7 2615.24852 4.295121667 2.516206667 7.77495 8.387361667 4.779465 4.553138333 27.38095889 6.317590178 132.293305
"13.3" "13.3" "13" "R28" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" 3 1 8 7.5 6 6 6 6 6 3 18 28 548.329175 6 3289.97505 4.470953333 2.559888333 9.76396 6.812385 8.309158333 8.351115 30.96581556 10.07136873 145.9688275
"13.4" "13.4" "13" "R28" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Nocardiaceae" "Rhodococcus" 4 1 7 6.857142857 7 7 7 7 6 0 16 32 519.3902129 7 3635.75965 5.700055714 3.891754286 13.00382286 10.74928571 13.9946531 0 23.11874458 8.21671375 157.5629225
"14.1" "14.1" "14" "P162" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Comamonadaceae" "Acidovorax" 1 1 6 5.428571429 6 6 7 3 0 0 13 30 158.56835 7 1109.97845 6.342856667 3.421330476 14.24061714 7.133742381 0 0 59.90086846 11.47502721 144.49192
"14.2" "14.2" "14" "P162" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Comamonadaceae" "Acidovorax" 2 1 7 7 7 7 7 7 7 0 22 31 329.15805 7 2304.10635 5.412631429 3.032275714 10.72572 6.227435714 7.61827 0 22.30519623 6.509472199 126.19
"14.3" "14.3" "14" "P162" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Comamonadaceae" "Acidovorax" 3 1 7 7.125 7 7 8 8 8 1 20 29 541.7946588 8 4334.35728 6.165464286 4.449083214 12.9636675 7.78162 12.70713125 19.03504375 24.84303375 13.7713769 168.0441625
"14.4" "14.4" "14" "P162" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Comamonadaceae" "Acidovorax" 4 1 6 6 6 7 6 6 0 0 11 26 120.9671433 6 725.80286 5.615645 3.003553571 8.305366429 7.210953333 0 0 20.80486894 5.398327727 104.2190625
"15.1" "15.1" "15" "R151" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus" 1 1 7 7 6 6 6 6 6 0 24 27 583.3468983 6 3500.10833 4.38933 2.469753333 10.76683833 7.296265 10.02429833 0 21.49331875 10.50766588 133.958995
"15.2" "15.2" "15" "R151" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus" 2 1 7 7 7 7 6 6 6 0 20 33 974.7224983 6 5848.33499 7.459501429 4.468461429 14.40765548 11.05979167 10.93798667 0 31.27923033 12.33762239 194.5830975
"15.3" "15.3" "15" "R151" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus" 3 1 7 6.714285714 6 7 8 7 5 0 21 29 515.7576163 7 4051.73545 7.058183333 3.334446667 12.681365 9.510565 9.080528 0 26.32123057 9.318635911 156.8024725
"15.4" "15.4" "15" "R151" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus" 4 1 7 6.571428571 7 7 7 7 4 0 19 22 631.9708629 7 4423.79604 6.65914 4.02905 15.55834286 11.37432286 9.169971786 0 26.08668461 11.10609335 170.008905
"16.1" "16.1" "16" "P192" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Bacteria" 1 1 7 7 5 5 5 5 5 0 16 33 728.945848 5 3644.72923 4.646784 3.09765 10.907482 8.354268 11.827392 0 29.183614 7.951772727 152.4709975
"16.2" "16.2" "16" "P192" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Bacteria" 2 1 7 6.5 6 6 6 6 3 0 18 33 973.55832 1 626.19841 4.985591667 3.170741667 14.127075 10.73657833 8.805873333 0 28.43205222 9.154534747 159.1561725
"16.3" "16.3" "16" "P192" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Bacteria" 3 1 7 7 6 6 6 6 6 0 15 28 449.0435267 6 2694.26115 3.696371667 3.301011667 12.08942167 6.07329 8.78841 0 28.171493 8.080438071 142.5851625
"16.4" "16.4" "16" "P192" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Bacteria" 4 1 7 7.333333333 6 6 6 6 6 2 19 36 825.6031717 6 4953.61903 5.719536667 3.31148 11.58103 8.324436667 10.79432833 2.213753333 33.82734816 9.182241009 172.1566925
"17.1" "17.1" "17" "R34" "Actinobacteriota" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Paenarthrobacter" 1 1 7 7 7 7 7 7 7 0 20 41 544.6150686 7 3812.30549 5.412641429 3.767468571 12.09855143 7.719752857 12.08433429 0 29.62012643 7.242123537 157.8691775
"17.2" "17.2" "17" "R34" "Actinobacteriota" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Paenarthrobacter" 2 1 7 7 7 7 7 7 7 0 18 30 392.0567129 7 2744.39699 5.786087143 3.500154286 10.94786286 6.723985714 8.763552857 0 22.25026603 8.181360111 137.8487125
"17.3" "17.3" "17" "R34" "Actinobacteriota" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Paenarthrobacter" 3 1 6 5.857142857 7 7 7 6 0 0 13 24 130.5515271 7 913.86068 3.613352857 3.577238571 9.324274286 7.607984286 0 0 20.22996214 9.661473274 312.2712075
"17.4" "17.4" "17" "R34" "Actinobacteriota" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Paenarthrobacter" 4 1 6 6.285714286 7 7 7 7 2 0 15 27 251.7895586 7 1762.52692 4.522 3.462841429 10.28851429 7.925781429 3.344082857 0 26.255496 7.842567077 129.8576825
"v2.1.2" "v2.1.2" "Syncom2" "Full_Syncom" NA NA NA NA NA 1 2 7 7 7 7 7 6 3 0 23 51 1292.510607 7 9047.57424 9.157482857 28.49464857 13.48974571 10.63050786 11.74650833 0 32.55949188 7.708016351 242.53852
"v2.1.3" "v2.1.3" "Syncom2" "Full_Syncom" NA NA NA NA NA 2 2 7 7.833333333 8 6 6 6 5 0 13 26 488.9863517 6 2933.9181 4.436433333 3.101101667 13.470415 7.122843333 7.348966667 0 32.44975923 7.534478269 153.807875
"v2.1.4" "v2.1.4" "Syncom2" "Full_Syncom" NA NA NA NA NA 3 2 7 7.6 8 10 12 8 5 3 19 37 357.8039967 9 3175.2753 8.75423625 5.77425775 14.838381 12.1300975 4.1317535 0 33.73354611 9.567044381 930.3458925
"v2.2.1" "v2.2.1" "19" "R289" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Rhizobium" 1 2 7 7 8 6 6 6 6 0 19 36 552.48564 6 3314.91384 5.04880125 3.07586375 11.649655 7.593075 9.792245 0 26.83268053 5.857673918 144.06384
"v2.2.2" "v2.2.2" "19" "R289" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Rhizobium" 2 2 7 7.166666667 7 7 7 7 6 1 19 34 740.4465314 7 5183.12572 5.85967 3.576528571 14.64194143 10.92549333 8.247288333 6.601748333 26.83590368 8.740246022 174.813575
"v2.2.3" "v2.2.3" "19" "R289" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Rhizobium" 3 2 7 6.333333333 7 7 7 6 6 2 26 41 1274.949598 6 7649.77977 4.403482857 5.941861429 16.04948 13.32612738 10.605465 11.56617833 20.17052962 9.095928311 183.781115
"v2.2.4" "v2.2.4" "19" "R289" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Rhizobium" 4 2 7 6.833333333 7 6 6 6 5 0 19 36 808.12034 6 4848.72204 4.730577143 3.601629524 14.62785167 9.557396667 11.086581 0 29.77460558 6.570337588 159.53738
"v2.3.1" "v2.3.1" "20" "P234" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Rhizobium" 1 2 7 7.166666667 7 6 6 6 6 1 24 37 1154.728618 6 6928.37171 5.182662857 3.79596881 16.06409833 10.379315 11.77300833 19.60332667 15.57814833 9.15438464 185.0264775
"v2.3.2" "v2.3.2" "20" "P234" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Rhizobium" 2 2 8 7.5 7 6 6 6 6 3 22 39 557.969946 5 3409.80142 6.122818571 4.694833095 10.89220667 8.441461667 9.990195 10.211445 19.48065 8.037881282 166.16203
"v2.3.3" "v2.3.3" "20" "P234" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Rhizobium" 3 2 7 7.333333333 7 8 8 7 6 2 25 45 893.7539971 7 6256.60146 6.379385714 3.866594286 18.03833125 10.79032446 8.403200952 14.57852333 21.9994868 8.095588978 186.7913025
"v2.3.4" "v2.3.4" "20" "P234" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Rhizobium" 4 2 7 7 8 6 6 6 6 0 28 45 1131.07719 6 6786.46314 5.885185 3.125513333 15.90424667 11.969175 14.87948833 -51.76360833 82.39509643 8.206847794 1827.71304
"v2.4.1" "v2.4.1" "21" "P153" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" 1 2 7 7.333333333 8 6 6 6 6 2 25 45 1121.20425 6 6727.32169 5.5094425 3.823034167 16.46213 11.02264833 13.36265167 6.794218333 25.8804426 7.247716178 182.022495
"v2.4.2" "v2.4.2" "21" "P153" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" 2 2 7 7.4 7 6 6 6 5 2 24 42 1097.045482 6 6582.27291 4.747218571 5.177424762 16.29931167 10.50399833 15.29364867 6.673133 30.30819208 8.411416726 197.35857
"v2.4.3" "v2.4.3" "21" "P153" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" 3 2 8 7.571428571 8 7 7 7 7 4 23 45 1411.260777 6 9260.82657 6.340305 4.614092143 16.24921857 10.38884571 11.68269143 12.63880714 31.96422783 8.777948618 206.8443975
"v2.4.4" "v2.4.4" "21" "P153" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" 4 2 6 6.125 7 7 7 8 1 0 27 19 320.2465857 7 2241.7261 5.03197 3.11293 12.91534286 8.080370893 2.31813625 0 26.91043889 7.210930585 128.100348
"v2.5.1" "v2.5.1" "22" "R245" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Brevundimonas" 1 2 7 6.833333333 10 7 6 6 5 0 23 39 1067.484228 6 6404.90536 5.30159 2.724314286 16.97050405 12.43279833 8.716797333 0 33.21715426 11.33634674 183.12528
"v2.5.2" "v2.5.2" "22" "R245" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Brevundimonas" 2 2 7 6.857142857 6 6 8 7 6 0 17 36 419.7324471 7 2938.12714 6.283476667 4.448478333 11.83396375 11.45410696 22.02170229 0 21.80515729 8.546271928 179.472525
"v2.5.3" "v2.5.3" "22" "R245" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Brevundimonas" 3 2 7 6.83333 6 7 6 6 5 0 21 30 858.614698 5 4293.07348 5.807355 1.902882143 14.32111786 8.516665 15.10743 0 26.9026119 8.003341095 160.9692925
"v2.5.4" "v2.5.4" "22" "R245" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Brevundimonas" 4 2 7 6.714285714 9 7 7 7 5 0 18 34 341.0621763 8 2728.46168 5.53677 4.294574286 16.38081571 5.813643333 8.282021667 0 28.76720056 6.691149444 156.8422375
"v6.1" "v6.1" "23" "P9" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Alcaligenaceae" NA 1 2 7 7.571428571 6 7 7 7 4 0 20 28 370.5003714 7 2593.50261 6.035923333 4.078988095 15.58210143 8.81519 6.392164643 0 27.081188 8.916984143 157.385825
"v6.2" "v6.2" "23" "P9" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Alcaligenaceae" NA 2 2 7 7.666666667 8 8 9 9 6 0 24 37 918.8384263 8 7350.7523 7.3178925 3.99971375 18.67189264 12.75021611 13.41601833 0 27.14689458 12.33567668 193.1960575
