ID	Species	Treatment	Subsample	Dead
121	SP9192	With-Microbiome	1	4.545454545
122	SP9192	With-Microbiome	2	3.703703704
123	SP9192	With-Microbiome	3	0
124	SP9192	With-Microbiome	4	3.846153846
125	SP9192	With-Microbiome	5	10.71428571
126	LP7760	With-Microbiome	1	6.25
127	LP7760	With-Microbiome	2	0
128	LP7760	With-Microbiome	3	0
129	LP7760	With-Microbiome	4	25
130	LP7760	With-Microbiome	5	36.84210526
131	LP0049	With-Microbiome	1	10
132	LP0049	With-Microbiome	2	10
133	LP0049	With-Microbiome	3	0
134	LP0049	With-Microbiome	4	6.25
135	LP0049	With-Microbiome	5	15
136	LT9109	With-Microbiome	1	21.42857143
137	LT9109	With-Microbiome	2	53.33333333
138	LT9109	With-Microbiome	3	86.66666667
139	LT9109	With-Microbiome	4	100
140	LT9109	With-Microbiome	5	50
141	LJ9250	With-Microbiome	1	27.27272727
142	LJ9250	With-Microbiome	2	6.666666667
143	LJ9250	With-Microbiome	3	13.33333333
144	LJ9250	With-Microbiome	4	0
145	LJ9250	With-Microbiome	5	0
146	LM7123	With-Microbiome	1	27.77777778
147	LM7123	With-Microbiome	2	23.07692308
148	LM7123	With-Microbiome	3	0
149	LM7123	With-Microbiome	4	11.11111111
150	LM7123	With-Microbiome	5	13.04347826
151	LM8389	With-Microbiome	1	26.31578947
152	LM8389	With-Microbiome	2	20
153	LM8389	With-Microbiome	3	23.07692308
154	LM8389	With-Microbiome	4	30.76923077
155	LM8389	With-Microbiome	5	6.25
156	LV7605	With-Microbiome	1	0
157	LV7605	With-Microbiome	2	0
158	LV7605	With-Microbiome	3	12.5
159	LV7605	With-Microbiome	4	0
160	LV7605	With-Microbiome	5	20
161	LY9208	With-Microbiome	1	23.52941176
162	LY9208	With-Microbiome	2	64.70588235
163	LY9208	With-Microbiome	3	27.27272727
164	LY9208	With-Microbiome	4	70
165	LY9208	With-Microbiome	5	41.66666667
166	LM9200	With-Microbiome	1	35.29411765
167	LM9200	With-Microbiome	2	50
168	LM9200	With-Microbiome	3	27.77777778
169	LM9200	With-Microbiome	4	20.83333333
170	LM9200	With-Microbiome	5	44.44444444
171	LA7339	With-Microbiome	1	78.26086957
172	LA7339	With-Microbiome	2	65.38461538
173	LA7339	With-Microbiome	3	22.22222222
174	LA7339	With-Microbiome	4	88.88888889
175	LA7339	With-Microbiome	5	82.60869565
176	LP8539	With-Microbiome	1	42.85714286
177	LP8539	With-Microbiome	2	36.36363636
178	LP8539	With-Microbiome	3	14.28571429
179	LP8539	With-Microbiome	4	100
180	LP8539	With-Microbiome	5	100
181	LT9243	With-Microbiome	1	7.142857143
182	LT9243	With-Microbiome	2	31.25
183	LT9243	With-Microbiome	3	94.44444444
184	LT9243	With-Microbiome	4	7.142857143
185	LT9243	With-Microbiome	5	85.71428571
186	PS	With-Microbiome	1	0
187	PS	With-Microbiome	2	0
188	PS	With-Microbiome	3	0
189	PS	With-Microbiome	4	0
190	PS	With-Microbiome	5	0
